Date,AAPL,AMZN,ASML,BAC,BRK-B,FCX,GOOGL,JNJ,JPM,MSFT,MSTR,NEE,NEM,NFLX,NVDA,NVO,O,PG,PLUG,RIG,SPG,TM,URBN,WMT,XOM
2005-01-18,941264848.1125832,169682251319.88525,80180628335.57129,945096038.8183594,101282.30918562412,3442198292.409897,11122781.156510115,89344406.62068558,48619585090.63721,126763683784.50394,103203332015.99121,100189297702.40784,1967914415.1687622,203738515565.8722,4589641226.768494,13078542816.16211,5422049459.153938,776283285.0972767,764759663.0004425,9003666526.794434,3546211713.383074,72770413.37585449,6952183588.274002,169702404241.52588,4195114234.546423
2005-01-19,931006185.7042313,167490290336.6089,79011323552.32239,931951980.5908203,98965.0437347889,3330776874.58992,10896368.904322386,89313490.89309692,47986068977.35596,124657089268.1942,104943771395.87402,99855461695.48035,1959946548.652649,201958373062.1338,4464687481.880188,13035422750.473022,5428953652.0617485,777920237.5077252,742030782.0,9026466613.769531,3541086103.8031483,72279053.8444519,6769231949.232101,167347755411.03445,4200955456.4133883
2005-01-20,938733496.7398643,166716668624.87793,77779432505.98907,898032012.9394531,99196.37609177828,3273716947.540283,10916074.737608433,90210029.30345154,47620252410.88867,125599493192.6384,104980761236.57227,99330924118.04199,1968181462.4786377,200652835298.5382,4419030301.094055,12862925054.55017,5401338603.785992,770063213.4141297,705931976.9995575,8960140319.824219,3451384351.3562965,73102086.62414551,6728067598.875046,164635764067.02887,4124998729.245901
2005-01-21,939133373.5041618,165362879829.40674,76944225766.75415,872592037.2009277,99382.21407973766,3178504634.279251,10866809.641033411,92884177.82586288,47299020721.43555,124989628806.42319,103036710086.05957,98313604799.6521,1981726759.147644,199545108140.94543,4486313611.030579,13090865449.905396,5355589547.429752,772027710.7406936,708605972.0,8968429412.841797,3363390918.1755924,72254487.62512207,6833264096.606255,165686930843.9364,4151709514.698744
2005-01-24,942730568.1929588,165491766090.39307,77006839935.87494,856056022.644043,95395.60725528002,3050878003.8757324,10965271.04395628,92745060.0,47352556747.43652,125350014051.06354,102222041583.25195,97741389053.7262,1982788644.695282,202274873090.74402,4487514557.83844,12998460079.193115,5277911884.021282,759258188.5542307,701921010.0,8982938713.07373,3301881321.9812965,70755842.81158447,6728067598.875046,165224376950.65195,4186765734.7830534
2005-01-25,959917000.1320839,167748188095.09277,76965071575.92773,867927970.8862305,97064.36096316576,2990102861.972809,11152270.602852106,92281335.87931442,47539936721.80176,126375597552.80685,103184814953.61328,101286095439.52942,1961008816.242218,203066023744.58313,4423840146.064758,12819800630.569458,5176065452.466202,748781287.7380428,703257981.999115,9034758247.375488,3406106069.4255924,73016093.14155579,6851561576.236725,163458380462.9834,4190939831.408143
2005-01-26,962582562.5290871,167683691291.80908,76902443453.78876,876407962.7990723,98315.94432610273,3194710171.1940765,10856957.237750292,91632117.39309692,47539936721.80176,126874581374.66621,102647896060.18066,102764362938.30872,1996070714.4737244,204529742694.85474,4481507173.538208,12949172159.194946,5178653501.564312,756311973.4313478,715290934.0,9080355033.874512,3411232004.8962593,76037960.70289612,6929315791.256905,165560779782.13156,4190939831.408143
2005-01-27,967777886.1207962,168328498306.2744,76735411873.0545,896971988.6779785,106196.162132442,3175128021.2860107,11034173.183590174,90951989.07586288,47361492362.976074,126209315014.33754,102425710290.52734,102080835213.08899,1996865743.7324524,204727553300.85754,4452672713.279724,12967654802.322388,5094934184.667778,749763970.7470217,720638924.000885,9208859687.805176,3480430667.241926,79858283.10966492,7313512843.809128,163164041138.50537,4190939831.408143
2005-01-28,985629860.5642319,168779743347.16797,77257387306.97632,895064025.8789062,106057.14754217863,3213280407.497406,11260585.435777903,92745060.0,46781527809.14307,126680529745.91446,100259435412.59766,102716673666.38184,2006959291.5534973,202828675489.42566,4320510258.674622,12936849525.45166,5138088298.503971,760620972.3086529,704595005.0004425,9018174980.163574,3433443740.154333,85250960.70289612,7304364798.711777,161986749605.92615,4346190601.358771
2005-01-31,1024533247.6129532,169424371452.33154,77946471063.23242,916264005.6610107,106242.334577322,3302416049.829483,11319634.145408869,92559571.53104019,46754740379.333496,128537772814.19754,98556023831.17676,102843830253.60107,2035646247.10083,204134045007.7057,4422637684.8220825,12810563667.297363,5118235674.167061,766871062.1055207,727323886.000885,9119734153.747559,3594052800.1037407,89304679.7657013,7514761036.190987,164383488249.55237,4461377032.209277
