Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
2016-04-18,0.65,0.15,-0.19,-0.16,-0.07,0.00,-0.29
2016-04-19,0.28,-0.19,1.48,-0.20,0.36,0.00,-0.61
2016-04-20,0.15,-0.01,0.58,-0.29,-0.12,0.00,-1.11
2016-04-21,-0.48,-0.02,-0.60,-0.60,-0.34,0.00,-0.88
2016-04-22,0.12,1.03,0.51,-0.08,0.93,0.00,-1.27
2016-04-25,-0.24,-0.66,-0.18,0.10,-0.17,0.00,1.37
2016-04-26,0.29,0.82,0.81,0.30,0.60,0.00,-0.85
2016-04-27,0.21,0.19,0.70,-0.18,0.75,0.00,-0.68
2016-04-28,-0.96,-0.19,-0.02,-0.48,0.56,0.00,0.71
2016-04-29,-0.50,-0.21,0.36,0.06,-0.25,0.00,0.71
2016-05-02,0.78,0.00,-0.38,0.03,-0.12,0.00,0.94
2016-05-03,-1.05,-0.73,-0.45,0.53,0.04,0.00,1.64
2016-05-04,-0.66,-0.16,0.05,0.51,0.26,0.00,1.27
2016-05-05,-0.08,-0.52,0.06,0.13,-0.01,0.00,0.23
2016-05-06,0.38,0.06,0.24,0.18,0.25,0.00,0.21
2016-05-09,0.05,0.21,-1.46,0.13,-0.49,0.00,0.91
2016-05-10,1.26,-0.37,0.50,-0.15,0.05,0.00,-0.69
2016-05-11,-0.89,-0.32,0.79,-0.39,0.03,0.00,0.38
2016-05-12,-0.11,-0.62,0.14,0.36,0.07,0.00,1.12
2016-05-13,-0.82,0.29,-0.67,-0.55,-0.18,0.00,0.20
2016-05-16,0.99,0.21,-0.23,-0.10,-0.30,0.00,-0.72
2016-05-17,-0.95,-0.71,0.61,-0.14,-0.11,0.00,-1.51
2016-05-18,0.10,0.18,0.89,-1.33,-0.63,0.00,0.30
2016-05-19,-0.32,-0.34,-0.26,0.36,-0.02,0.00,0.22
2016-05-20,0.75,0.85,-0.26,-0.40,-0.36,0.00,-1.19
2016-05-23,-0.19,0.24,-0.32,-0.23,0.10,0.00,-0.43
2016-05-24,1.43,0.63,-0.35,-0.10,-0.38,0.00,0.08
2016-05-25,0.71,-0.12,0.56,0.22,-0.08,0.00,-1.59
2016-05-26,-0.04,-0.16,-0.53,0.15,-0.23,0.00,0.54
2016-05-27,0.48,0.36,-0.17,-0.12,-0.10,0.00,-0.21
2016-05-31,-0.01,0.46,-0.37,-0.20,-0.32,0.00,-0.61
2016-06-01,0.20,0.63,-0.21,-0.28,0.06,0.00,-0.03
2016-06-02,0.35,0.26,-0.58,-0.20,-0.04,0.00,-0.60
2016-06-03,-0.38,-0.21,-0.07,0.52,0.14,0.00,0.67
2016-06-06,0.60,0.72,0.31,-0.18,-0.08,0.00,-1.31
2016-06-07,0.12,0.21,0.10,0.36,0.23,0.00,0.00
2016-06-08,0.37,0.43,-0.09,0.03,-0.08,0.00,0.55
2016-06-09,-0.27,-0.44,-0.24,0.33,0.12,0.00,1.15
