Date,SPY,^GSPC,^VIX
2005-01-03,81.38372039794922,1202.0799560546875,14.079999923706055
2005-01-04,80.38926696777344,1188.050048828125,13.979999542236328
2005-01-05,79.83451080322266,1183.739990234375,14.09000015258789
2005-01-06,80.24044036865234,1187.8900146484375,13.579999923706055
2005-01-07,80.12542724609375,1186.18994140625,13.489999771118164
2005-01-10,80.5042495727539,1190.25,13.229999542236328
2005-01-11,79.94951629638672,1182.989990234375,13.1899995803833
2005-01-12,80.2133560180664,1187.699951171875,12.5600004196167
2005-01-13,79.57070922851562,1177.449951171875,12.84000015258789
2005-01-14,79.99009704589844,1184.52001953125,12.430000305175781
2005-01-18,80.82218933105469,1195.97998046875,12.470000267028809
2005-01-19,79.9765853881836,1184.6300048828125,13.180000305175781
2005-01-20,79.48948669433594,1175.4100341796875,13.829999923706055
2005-01-21,79.0024185180664,1167.8699951171875,14.359999656677246
2005-01-24,78.84680938720703,1163.75,14.649999618530273
2005-01-25,79.07009887695312,1168.4100341796875,14.0600004196167
2005-01-26,79.30687713623047,1174.0699462890625,13.4399995803833
2005-01-27,79.44213104248047,1174.550048828125,13.239999771118164
2005-01-28,79.44213104248047,1171.3599853515625,13.239999771118164
2005-01-31,79.93598937988281,1181.27001953125,12.819999694824219
2005-02-01,80.4433822631836,1189.4100341796875,12.029999732971191
2005-02-02,80.68692779541016,1193.18994140625,11.65999984741211
2005-02-03,80.47722625732422,1189.8900146484375,11.789999961853027
2005-02-04,81.33637237548828,1203.030029296875,11.210000038146973
2005-02-07,81.22811889648438,1201.719970703125,11.729999542236328
2005-02-08,81.32284545898438,1202.300048828125,11.600000381469727
2005-02-09,80.71400451660156,1191.989990234375,12.0
2005-02-10,81.00486755371094,1197.010009765625,11.510000228881836
2005-02-11,81.70167541503906,1205.300048828125,11.430000305175781
2005-02-14,81.64079284667969,1206.1400146484375,11.520000457763672
2005-02-15,81.94524383544922,1210.1199951171875,11.270000457763672
2005-02-16,81.99935913085938,1210.3399658203125,11.100000381469727
2005-02-17,81.33637237548828,1200.75,11.770000457763672
2005-02-18,81.44462585449219,1201.5899658203125,11.180000305175781
2005-02-22,80.233642578125,1184.1600341796875,13.140000343322754
2005-02-23,80.8086929321289,1190.800048828125,12.390000343322754
2005-02-24,81.34310913085938,1200.199951171875,11.569999694824219
2005-02-25,82.14820098876953,1211.3699951171875,11.489999771118164
2005-02-28,81.60696411132812,1203.5999755859375,12.079999923706055
2005-03-01,82.01288604736328,1210.4100341796875,12.039999961853027
2005-03-02,81.97227478027344,1210.0799560546875,12.5
2005-03-03,82.00609588623047,1210.469970703125,12.930000305175781
2005-03-04,83.02764892578125,1222.1199951171875,11.9399995803833
2005-03-07,83.0682601928711,1225.31005859375,12.260000228881836
2005-03-08,82.75703430175781,1219.4300537109375,12.399999618530273
2005-03-09,81.83700561523438,1207.010009765625,12.699999809265137
2005-03-10,82.01964569091797,1209.25,12.489999771118164
2005-03-11,81.44462585449219,1200.0799560546875,12.800000190734863
2005-03-14,81.95203399658203,1206.8299560546875,12.390000343322754
2005-03-15,81.27546691894531,1197.75,13.149999618530273
2005-03-16,80.58544921875,1188.0699462890625,13.489999771118164
2005-03-17,80.747802734375,1190.2099609375,13.289999961853027
2005-03-18,80.50804901123047,1189.6500244140625,13.140000343322754
2005-03-21,80.209228515625,1183.780029296875,13.609999656677246
2005-03-22,79.39424133300781,1171.7099609375,14.270000457763672
2005-03-23,79.46214294433594,1172.530029296875,14.0600004196167
2005-03-24,79.55722045898438,1171.4200439453125,13.420000076293945
2005-03-28,79.6727066040039,1174.280029296875,13.75
2005-03-29,79.1429214477539,1165.3599853515625,14.489999771118164
2005-03-30,80.26351165771484,1181.4100341796875,13.640000343322754
2005-03-31,80.11415100097656,1180.5899658203125,14.020000457763672
2005-04-01,79.75415802001953,1172.9200439453125,14.09000015258789
2005-04-04,79.89002990722656,1176.1199951171875,14.109999656677246
2005-04-05,80.27035522460938,1181.3900146484375,13.680000305175781
2005-04-06,80.54881286621094,1184.0699462890625,13.149999618530273
2005-04-07,80.98345947265625,1191.1400146484375,12.329999923706055
2005-04-08,80.14134216308594,1181.199951171875,12.619999885559082
2005-04-11,80.20240020751953,1181.2099609375,11.979999542236328
2005-04-12,80.61670684814453,1187.760009765625,11.300000190734863
2005-04-13,79.66590881347656,1173.7900390625,13.3100004196167
2005-04-14,78.62677764892578,1162.050048828125,14.529999732971191
2005-04-15,77.52654266357422,1142.6199951171875,17.739999771118164
2005-04-18,77.76422882080078,1145.97998046875,16.559999465942383
2005-04-19,78.38227844238281,1152.780029296875,14.960000038146973
2005-04-20,77.28882598876953,1137.5,16.920000076293945
2005-04-21,78.78977966308594,1159.949951171875,14.40999984741211
2005-04-22,78.49095153808594,1152.1199951171875,15.380000114440918
2005-04-25,79.00711059570312,1162.0999755859375,14.619999885559082
2005-04-26,78.23963928222656,1151.8299560546875,14.90999984741211
2005-04-27,78.54529571533203,1156.3800048828125,14.869999885559082
2005-04-28,77.56048583984375,1143.219970703125,16.860000610351562
2005-04-29,78.6131820678711,1156.8499755859375,15.3100004196167
2005-05-02,79.05467224121094,1162.1600341796875,15.119999885559082
2005-05-03,79.19047546386719,1161.1700439453125,14.529999732971191
2005-05-04,79.80172729492188,1175.6500244140625,13.850000381469727
2005-05-05,79.77458190917969,1172.6300048828125,13.979999542236328
2005-05-06,79.52326202392578,1171.3499755859375,14.050000190734863
2005-05-09,80.01907348632812,1178.8399658203125,13.75
2005-05-10,79.19047546386719,1166.219970703125,14.90999984741211
2005-05-11,79.6251449584961,1171.1099853515625,14.449999809265137
2005-05-12,78.74901580810547,1159.3599853515625,16.1200008392334
2005-05-13,78.59281158447266,1154.050048828125,16.31999969482422
2005-05-16,79.32633209228516,1165.68994140625,15.680000305175781
2005-05-17,79.8560791015625,1173.800048828125,14.569999694824219
2005-05-18,80.67784881591797,1185.56005859375,13.630000114440918
2005-05-19,81.01742553710938,1191.0799560546875,13.319999694824219
2005-05-20,80.90194702148438,1189.280029296875,13.140000343322754
2005-05-23,81.35021209716797,1193.8599853515625,12.949999809265137
2005-05-24,81.16007232666016,1194.0699462890625,12.6899995803833
2005-05-25,81.09894561767578,1190.010009765625,12.579999923706055
2005-05-26,81.53358459472656,1197.6199951171875,12.239999771118164
2005-05-27,81.66944122314453,1198.780029296875,12.149999618530273
2005-05-31,81.146484375,1191.5,13.289999961853027
2005-06-01,81.83927917480469,1202.219970703125,12.359999656677246
2005-06-02,82.01580047607422,1204.2900390625,11.84000015258789
2005-06-03,81.60151672363281,1196.02001953125,12.149999618530273
2005-06-06,81.52678680419922,1197.510009765625,12.279999732971191
2005-06-07,81.58792877197266,1197.260009765625,12.390000343322754
2005-06-08,81.43849182128906,1194.6700439453125,12.699999809265137
2005-06-09,81.82563781738281,1200.9300537109375,12.079999923706055
2005-06-10,81.63551330566406,1198.1099853515625,11.960000038146973
2005-06-13,81.89356994628906,1200.8199462890625,11.649999618530273
2005-06-14,82.08370971679688,1203.9100341796875,11.789999961853027
2005-06-15,82.23993682861328,1206.5799560546875,11.460000038146973
2005-06-16,82.45047760009766,1210.9599609375,11.149999618530273
2005-06-17,82.75596618652344,1216.9599609375,11.479999542236328
2005-06-20,82.78323364257812,1216.0999755859375,11.470000267028809
2005-06-21,82.83097076416016,1213.6099853515625,11.079999923706055
2005-06-22,82.89916229248047,1213.8800048828125,11.050000190734863
2005-06-23,81.73311614990234,1200.72998046875,12.130000114440918
2005-06-24,81.13301849365234,1191.5699462890625,12.180000305175781
2005-06-27,81.24896240234375,1190.68994140625,12.520000457763672
2005-06-28,81.93086242675781,1201.5699462890625,11.579999923706055
2005-06-29,81.712646484375,1199.8499755859375,11.770000457763672
2005-06-30,81.26942443847656,1191.3299560546875,12.039999961853027
2005-07-01,81.50806427001953,1194.43994140625,11.399999618530273
2005-07-05,82.16271209716797,1204.989990234375,11.680000305175781
2005-07-06,81.47396850585938,1194.93994140625,12.270000457763672
2005-07-07,81.79449462890625,1197.8699951171875,12.489999771118164
2005-07-08,82.72868347167969,1211.8599853515625,11.449999809265137
2005-07-11,83.15147399902344,1219.43994140625,11.279999732971191
2005-07-12,83.36971282958984,1222.2099609375,10.949999809265137
2005-07-13,83.48561096191406,1223.2900390625,10.84000015258789
2005-07-14,83.81293487548828,1226.5,10.8100004196167
2005-07-15,83.76518249511719,1227.9200439453125,10.329999923706055
2005-07-18,83.43104553222656,1221.1300048828125,10.770000457763672
2005-07-19,83.88792419433594,1229.3499755859375,10.449999809265137
2005-07-20,84.17432403564453,1235.199951171875,10.229999542236328
2005-07-21,83.68335723876953,1227.0400390625,10.970000267028809
2005-07-22,84.24252319335938,1233.6800537109375,10.520000457763672
2005-07-25,84.00387573242188,1229.030029296875,11.100000381469727
2005-07-26,84.10616302490234,1231.1600341796875,10.989999771118164
2005-07-27,84.41300964355469,1236.7900390625,10.359999656677246
2005-07-28,84.94486236572266,1243.719970703125,10.520000457763672
2005-07-29,84.37889099121094,1234.1800537109375,11.569999694824219
2005-08-01,84.31752014160156,1235.3499755859375,12.079999923706055
2005-08-02,84.82212829589844,1244.1199951171875,11.75
2005-08-03,85.04715728759766,1245.0400390625,11.829999923706055
2005-08-04,84.36524963378906,1235.8599853515625,12.520000457763672
2005-08-05,83.79244995117188,1226.4200439453125,12.479999542236328
2005-08-08,83.63561248779297,1223.1300048828125,13.210000038146973
2005-08-09,84.14021301269531,1231.3800048828125,12.399999618530273
2005-08-10,84.09933471679688,1229.1300048828125,12.380000114440918
2005-08-11,84.43344116210938,1237.81005859375,12.420000076293945
2005-08-12,83.91522979736328,1230.3900146484375,12.739999771118164
2005-08-15,84.43344116210938,1233.8699951171875,12.260000228881836
2005-08-16,83.33562469482422,1219.3399658203125,13.520000457763672
2005-08-17,83.32878112792969,1220.239990234375,13.300000190734863
2005-08-18,83.32194519042969,1219.02001953125,13.420000076293945
2005-08-19,83.5129165649414,1219.7099609375,13.420000076293945
2005-08-22,83.5129165649414,1221.72998046875,13.420000076293945
2005-08-23,83.35604858398438,1217.5899658203125,13.34000015258789
2005-08-24,82.6127700805664,1209.5899658203125,14.170000076293945
2005-08-25,82.91279602050781,1212.3699951171875,13.729999542236328
2005-08-26,82.34680938720703,1205.0999755859375,13.720000267028809
2005-08-29,82.98098754882812,1212.280029296875,13.520000457763672
2005-08-30,82.5445785522461,1208.4100341796875,13.649999618530273
2005-08-31,83.58788299560547,1220.3299560546875,12.600000381469727
2005-09-01,83.52653503417969,1221.5899658203125,13.149999618530273
2005-09-02,83.3764877319336,1218.02001953125,13.569999694824219
2005-09-06,84.35162353515625,1233.3900146484375,12.930000305175781
2005-09-07,84.49483489990234,1236.3599853515625,12.520000457763672
2005-09-08,84.21524810791016,1231.6700439453125,12.930000305175781
2005-09-09,84.96534729003906,1241.47998046875,11.979999542236328
2005-09-12,84.79486846923828,1240.56005859375,11.649999618530273
2005-09-13,84.32437896728516,1231.199951171875,12.390000343322754
2005-09-14,84.0174789428711,1227.1600341796875,12.90999984741211
2005-09-15,83.97657775878906,1227.72998046875,12.489999771118164
2005-09-16,84.57376098632812,1237.9100341796875,11.220000267028809
2005-09-19,84.29295349121094,1231.02001953125,12.140000343322754
2005-09-20,83.58074951171875,1221.3399658203125,12.640000343322754
2005-09-21,82.80006408691406,1210.199951171875,13.789999961853027
2005-09-22,83.09455108642578,1214.6199951171875,13.329999923706055
2005-09-23,83.16300201416016,1215.2900390625,12.960000038146973
2005-09-26,83.2588882446289,1215.6300048828125,13.039999961853027
2005-09-27,83.23833465576172,1215.6600341796875,12.760000228881836
2005-09-28,83.32050323486328,1216.8900146484375,12.630000114440918
2005-09-29,83.9985122680664,1227.6800537109375,12.239999771118164
2005-09-30,84.25871276855469,1228.81005859375,11.920000076293945
2005-10-03,83.9573745727539,1226.699951171875,12.460000038146973
2005-10-04,83.01238250732422,1214.469970703125,13.199999809265137
2005-10-05,81.92351531982422,1196.3900146484375,14.550000190734863
2005-10-06,81.62905883789062,1191.489990234375,14.960000038146973
2005-10-07,81.90980529785156,1195.9000244140625,14.59000015258789
2005-10-10,81.21817016601562,1187.3299560546875,15.550000190734863
2005-10-11,81.10173797607422,1184.8699951171875,15.630000114440918
2005-10-12,80.46488189697266,1177.6800537109375,16.219999313354492
2005-10-13,80.41695404052734,1176.8399658203125,16.469999313354492
2005-10-14,81.26611328125,1186.5699462890625,14.869999885559082
2005-10-17,81.56742095947266,1190.0999755859375,14.670000076293945
2005-10-18,80.68402862548828,1178.1400146484375,15.329999923706055
2005-10-19,82.0262222290039,1195.760009765625,13.5
2005-10-20,80.5813217163086,1177.800048828125,16.110000610351562
2005-10-21,80.8962631225586,1179.5899658203125,16.1299991607666
2005-10-24,82.14952087402344,1199.3800048828125,14.739999771118164
2005-10-25,81.98518371582031,1196.5400390625,14.529999732971191
2005-10-26,81.74549102783203,1191.3800048828125,14.59000015258789
2005-10-27,80.87577056884766,1178.9000244140625,16.020000457763672
2005-10-28,82.03998565673828,1198.4100341796875,14.25
2005-10-31,82.26590728759766,1207.010009765625,15.319999694824219
2005-11-01,82.51246643066406,1202.760009765625,14.850000381469727
2005-11-02,83.37532043457031,1214.760009765625,13.479999542236328
2005-11-03,83.7314453125,1219.93994140625,13.0
2005-11-04,83.6218490600586,1220.1400146484375,13.170000076293945
2005-11-07,83.70404815673828,1222.81005859375,13.100000381469727
2005-11-08,83.70404815673828,1218.5899658203125,13.079999923706055
2005-11-09,83.8135986328125,1220.6500244140625,12.800000190734863
2005-11-10,84.46416473388672,1230.9599609375,11.899999618530273
2005-11-11,84.75175476074219,1234.719970703125,11.630000114440918
2005-11-14,84.70384979248047,1233.760009765625,12.180000305175781
2005-11-15,84.39566040039062,1229.010009765625,12.229999542236328
2005-11-16,84.5668716430664,1231.2099609375,12.260000228881836
2005-11-17,85.35440063476562,1242.800048828125,11.25
2005-11-18,85.6899642944336,1248.27001953125,11.119999885559082
2005-11-21,86.12142181396484,1254.8499755859375,10.819999694824219
2005-11-22,86.49120330810547,1261.22998046875,10.600000381469727
2005-11-23,86.99109649658203,1265.6099853515625,10.960000038146973
2005-11-25,87.05955505371094,1268.25,10.880000114440918
2005-11-28,86.44324493408203,1257.4599609375,11.84000015258789
2005-11-29,86.34735107421875,1257.47998046875,11.890000343322754
2005-11-30,85.88172912597656,1249.47998046875,12.0600004196167
2005-12-01,86.75826263427734,1264.6700439453125,11.239999771118164
2005-12-02,86.8678207397461,1265.0799560546875,11.010000228881836
2005-12-05,86.68291473388672,1262.0899658203125,11.600000381469727
2005-12-06,86.84730529785156,1263.699951171875,11.520000457763672
2005-12-07,86.34054565429688,1257.3699951171875,12.180000305175781
2005-12-08,86.28570556640625,1255.8399658203125,12.210000038146973
2005-12-09,86.5117416381836,1259.3699951171875,11.6899995803833
2005-12-12,86.59391021728516,1260.4300537109375,11.470000267028809
2005-12-13,87.18286895751953,1267.4300537109375,11.109999656677246
2005-12-14,87.5252456665039,1272.739990234375,10.479999542236328
2005-12-15,87.27186584472656,1270.93994140625,10.729999542236328
2005-12-16,86.99098205566406,1267.3199462890625,10.680000305175781
2005-12-19,86.54353332519531,1259.9200439453125,11.380000114440918
2005-12-20,86.62609100341797,1259.6199951171875,11.1899995803833
2005-12-21,86.76380920410156,1262.7900390625,10.8100004196167
2005-12-22,87.21817016601562,1268.1199951171875,10.289999961853027
2005-12-23,87.26634979248047,1268.6600341796875,10.270000457763672
2005-12-27,86.3782730102539,1256.5400390625,11.569999694824219
2005-12-28,86.571044921875,1258.1700439453125,11.350000381469727
2005-12-29,86.18550872802734,1254.4200439453125,11.609999656677246
2005-12-30,85.71736907958984,1248.2900390625,12.069999694824219
2006-01-03,87.22505187988281,1268.800048828125,11.140000343322754
2006-01-04,87.63810729980469,1273.4599609375,11.369999885559082
2006-01-05,87.69319915771484,1273.47998046875,11.3100004196167
2006-01-06,88.42293548583984,1285.449951171875,11.0
2006-01-09,88.65013885498047,1290.1500244140625,11.130000114440918
2006-01-10,88.7396011352539,1289.68994140625,10.859999656677246
2006-01-11,89.02186584472656,1294.1800537109375,10.9399995803833
2006-01-12,88.67076110839844,1286.06005859375,11.199999809265137
2006-01-13,88.58814239501953,1287.6099853515625,11.229999542236328
2006-01-17,88.34722137451172,1282.9300537109375,11.90999984741211
2006-01-18,87.99609375,1277.9300537109375,12.25
2006-01-19,88.33346557617188,1285.0400390625,11.979999542236328
2006-01-20,86.72248077392578,1261.489990234375,14.5600004196167
2006-01-23,87.03228759765625,1263.8199462890625,13.930000305175781
2006-01-24,87.12178802490234,1266.8599853515625,13.3100004196167
2006-01-25,87.19751739501953,1264.6800537109375,12.869999885559082
2006-01-26,87.67942810058594,1273.8299560546875,12.420000076293945
2006-01-27,88.49176788330078,1283.719970703125,11.970000267028809
2006-01-30,88.42293548583984,1285.18994140625,12.390000343322754
2006-01-31,87.77581024169922,1280.0799560546875,12.949999809265137
2006-02-01,88.38853454589844,1282.4599609375,12.359999656677246
2006-02-02,87.36273956298828,1270.8399658203125,13.229999542236328
2006-02-03,86.92904663085938,1264.030029296875,12.960000038146973
2006-02-06,87.15619659423828,1265.02001953125,13.039999961853027
2006-02-07,86.38512420654297,1254.780029296875,13.59000015258789
2006-02-08,87.16998291015625,1265.6500244140625,12.829999923706055
2006-02-09,87.02540588378906,1263.780029296875,13.119999885559082
2006-02-10,87.18375396728516,1266.989990234375,12.869999885559082
2006-02-13,87.02540588378906,1262.8599853515625,13.350000381469727
2006-02-14,87.94793701171875,1275.530029296875,12.25
2006-02-15,88.2577133178711,1280.0,12.3100004196167
2006-02-16,88.91864013671875,1289.3800048828125,11.479999542236328
2006-02-17,88.67764282226562,1287.239990234375,12.010000228881836
2006-02-21,88.45736694335938,1283.030029296875,12.40999984741211
2006-02-22,88.99435424804688,1292.6700439453125,11.880000114440918
2006-02-23,88.86355590820312,1287.7900390625,11.869999885559082
2006-02-24,89.09072875976562,1289.4300537109375,11.460000038146973
2006-02-27,89.12515258789062,1294.1199951171875,11.59000015258789
2006-02-28,88.27838134765625,1280.6600341796875,12.34000015258789
2006-03-01,89.06317901611328,1291.239990234375,11.539999961853027
2006-03-02,89.05628204345703,1289.1400146484375,11.720000267028809
2006-03-03,88.64327239990234,1287.22998046875,11.960000038146973
2006-03-06,88.23705291748047,1278.260009765625,12.739999771118164
2006-03-07,88.09935760498047,1275.8800048828125,12.65999984741211
