Date,AAPL,AMZN,ASML,BAC,BRK-B,FCX,GOOGL,JNJ,JPM,MSFT,MSTR,NEE,NEM,NFLX,NVDA,NVO,O,PG,PLUG,RIG,SPG,TM,URBN,WMT,XOM
2011-07-11,9833563170.60431,171902762832.6416,105371111245.72754,4867394807.815552,204862278.91822234,8901431648.55194,223907205.65223694,124124138.50424194,46265876710.09791,80948070425.39978,126953720442.1997,122544453163.14697,3961006548.690796,227310920959.47266,37910547164.91699,19455323535.91919,17067456092.86345,2094747979.4679165,46729327.34298587,15568491210.9375,4998311745.665836,176999451.8623352,15472773508.003235,198807799391.68164,23214264434.057236
2011-07-12,9826619113.312664,171321701477.05078,105264246905.51758,4837166814.804077,202110691.40934917,9015046194.511414,224315336.86685562,124965158.54699707,46325987226.680885,79853098026.19171,126581048042.29736,122107328681.9458,3970014147.377014,227283207763.67188,38465327957.15332,19839058376.312256,17080347512.471962,2100226087.2743626,46955072.677698135,15437188720.703125,5062188179.334164,173358085.18218994,14613875221.992493,198665259608.88742,22610391763.432503
2011-07-13,9945233938.64148,171902762832.6416,105878880204.77295,4889150087.356567,201697862.04407892,9086793463.737488,230060483.55340958,125855648.13674927,46394711453.452415,79774886055.79376,126796814185.33325,123200277812.5763,3963778086.75766,228920815917.96875,39222782470.703125,20359057250.976562,16927095417.499256,2074056195.2535782,50115512.7458632,15609685058.59375,5086141689.667082,180651901.57318115,14530075570.343018,201135589660.16644,23006740291.61167
2011-07-14,9938290765.492601,170869885574.34082,107829705221.55762,4817702024.459839,193718050.74448484,8929456466.1026,220734234.16233063,125492854.68374634,46059757016.85099,78758149695.16754,126718361056.90002,123254928982.54395,3949225012.6838684,228254668640.13672,38765456466.674805,20351882743.83545,16832558713.450546,2055190446.974722,51469984.7541368,15599385986.328125,4998311745.665836,189605913.74206543,14220035446.777344,200185412128.6491,23045998501.021385
2011-07-15,10136903712.518047,172870937484.7412,106840925173.9502,4831460780.5573225,193993234.5413555,10088897344.470978,220972989.7661209,124272559.72650146,46059757016.85099,78210704411.47614,127169475133.89587,122872307133.86536,3936061106.5864563,230363907043.45703,39544336227.41699,20577824295.043945,17014458904.993793,2072839399.622961,51921475.423561335,16214708251.953125,5015877795.383167,187812890.4800415,14379251938.171387,199164076506.8008,23440480976.898193
2011-07-18,10383575123.783964,171644479614.2578,106440096528.62549,4801046937.1564865,189865674.3781648,10043653130.413055,214865853.8017273,123860296.72650146,45793510248.56244,76020769240.33356,126620268880.84412,122216514313.88855,3905568989.467621,229392596069.33594,39337107589.72168,20832452407.836914,16881256896.048775,2057623797.5246544,51244239.419424534,15983002929.6875,4953598607.600498,186838913.74206543,14333163218.223572,198000161642.9585,23634910875.855446
2011-07-19,10468302525.141024,177777040557.86133,107936592353.8208,4949256793.062973,195644247.8726389,10172124643.810272,221250252.67982483,125806178.5897522,46351758811.720215,74847647448.00568,126737919945.14465,121542515047.07336,3933980153.7513733,232112574096.6797,40230316116.33301,20710506809.23462,17220722737.971153,2073448399.2165241,51469984.7541368,16237883300.78125,5044622129.616833,194774659.27124023,14873640243.31665,200090499600.0302,23547042126.574516
2011-07-20,10747475024.520115,174725692796.3252,109459861244.20166,4892288034.452534,193167683.15074354,10050576954.654694,216714178.97176743,125558818.27349854,46283054455.09906,77037515228.23334,126965366454.69666,120668138766.86096,3945761689.758301,231196670776.3672,39958786209.106445,20807339721.679688,17259382446.661694,2083185171.3744793,55081915.4917264,16482467041.015625,5030249962.5,192693878.31115723,14915535882.759094,200304250085.4218,23305875096.364975
2011-07-21,10758308425.843584,174983981961.50632,113014069218.44482,4839177338.220406,202248175.96785593,10247079549.430847,212409174.8290062,127537675.64099121,46781185878.29039,80009536407.89795,127538906804.65698,121087109850.31128,4011592816.6389465,235970404602.05078,39544336227.41699,20420779218.699455,17369680304.637047,2106469425.3359642,52824456.7624104,16299671630.859375,5137242288.348007,188797950.24871826,15531434771.255493,203011940376.6477,23320828035.83908
2011-07-22,10925255799.670626,177760490610.4919,112746809602.35596,4914303925.421047,206375771.9110228,10436830864.208221,213002169.40760612,127059461.63250732,46824141831.714325,79227440772.10236,127064271675.8728,121542515047.07336,3981794483.757019,236525605407.71484,39780137939.453125,20473127505.24378,17452749263.82477,2113198864.0297565,53501692.7665472,16590600585.9375,5199522085.301495,190015415.8935547,15824714294.670105,201919394052.20203,23505910508.545876
2011-07-25,11069707044.935328,180214117827.65894,111410663468.9331,4845532837.970853,203073655.7985155,10449492757.518768,216814277.4128914,125179543.35900879,46351758811.720215,78288911568.2373,125205272636.79504,120686334603.88184,3987338359.642029,234721474487.3047,39630073684.69238,20385882840.93628,17255085679.872574,2087502421.6745796,51018494.08471227,16747651367.1875,5188343800.78516,187514049.75128174,15673883964.286804,199829135013.5299,23466652299.13616
2011-07-26,11206096676.450956,181311802833.9257,110742575207.51953,4861193229.188919,198120705.2546057,10509254688.491821,205555015.0463581,124519920.04275513,46025408150.23214,78210704411.47614,124770156081.39038,120085192953.87268,3974865838.5276794,234166479797.36328,40073118621.82617,20375407603.778076,17530094423.752388,2086891886.4584827,51244239.419424534,16555075311.978336,5364003079.616833,184968414.81781006,15824714294.670105,199757898004.79932,23259130608.79612
2011-07-27,10905534995.25375,176469108705.68158,108684817474.36523,5050484609.502339,190691207.87878865,10250963092.220306,207488028.02181244,123167697.90600586,45733389796.90427,75707940613.28888,123010073714.82849,118828216044.6167,3925665139.6751404,231224458923.33984,38908365600.58594,20005450572.98498,17074624832.453007,2032440759.9482746,50115512.7458632,16025024654.300137,5135645651.633167,180552280.960083,15606846587.341309,195173699160.29294,22958127299.634933
2011-07-28,10884141392.7218,178987312209.21234,108711582942.1997,5081805824.844933,190278414.29349458,10313762709.99527,205331670.0782776,123431539.68374634,45510098982.03966,76568267474.02954,122456321279.90723,118555002634.04846,3897251976.0131836,226089816467.28516,38615395858.76465,20148547669.2214,17279443725.100918,2007552556.840725,49438276.7417264,15852628933.413486,5202715967.901993,176523535.96878052,14970000716.400146,193415989104.58533,23017956222.27001
2011-07-29,10846918982.233099,176921014868.03735,108096942045.59326,5050484609.502339,190278414.29349458,10191369164.852142,204846485.6851101,122310183.8204956,45269633733.86562,75942571710.84595,121605956243.51501,116289084036.89087,3828650110.8169556,221454704833.98438,37522243304.34265,19408639187.48455,17260816194.579605,1994649041.4511356,53050202.09712267,15839764218.41278,5196328202.700996,176390719.039917,14936486214.309692,194579838203.0946,22812307940.548897
2011-08-01,11021093339.03721,176081650987.49927,105787113509.60155,5023248299.523497,205016405.98630905,10243365956.233978,202836445.2369213,123563466.86325073,45354218525.886536,76724667346.64154,111202528391.97617,115607068873.06644,3839735063.457489,220927348388.67188,37671018557.18422,19310917426.06907,17150530648.256943,1997107274.504136,50567003.41528773,15816606511.429054,5177555814.864708,177076927.52456665,14731187701.179504,194223561087.9754,22636565537.775993
2011-08-02,10803308640.253166,173046901114.1539,104217559364.03354,4804905432.441258,202905685.10824442,10000774588.737488,198077077.9724121,120990949.76925659,44544028878.211975,74221937243.91174,110188823470.95789,113848111184.60521,3758659477.519989,216042536926.26953,36445312239.69772,19590125647.170067,16584762079.741055,1944261011.0748453,47858054.0165472,15240239219.800945,4944477571.471323,168145060.30654907,14400198920.61615,193083479580.82068,22180400347.489357
2011-08-03,10904976217.025036,173821768609.6972,104374514034.90556,4765413107.651782,208393511.81989908,10148827279.04892,200233448.76885414,122046342.04275513,44199233312.60681,74612997095.90149,109935350072.13599,113812255263.39008,3744106403.4461975,215709528869.6289,35885607046.780014,19935655957.50885,16530336740.159256,1939343577.0176497,48986786.072301865,15188777919.83321,5034493981.704903,163109121.15097046,14647393073.188782,193012255725.15668,22236482452.88658
